file_id,hsa-mir-100,hsa-mir-1-1,hsa-let-7e,hsa-let-7g,hsa-let-7d,hsa-mir-103a-2,hsa-mir-101-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-1-2,hsa-let-7f-1,hsa-let-7c,hsa-mir-103b-2,hsa-let-7f-2,hsa-mir-101-1,hsa-let-7i,hsa-mir-103a-1,hsa-mir-103b-1,hsa-let-7a-1,hsa-let-7a-3,label
d8e3ad66-2ca6-48db-9310-8a92c49d7fe7,5949,15,1650,1051,993,8426,12731,18383,50357,18,8135,4493,0,8235,12824,907,8390,0,18341,18288,1
c8fbc0f6-051a-484f-a34b-d894241d350d,6089,14,4327,2713,1123,13951,16330,43899,29092,11,39275,7036,0,40265,16342,1293,13993,0,44134,44398,1
8aa33832-e2fe-46f1-b757-6fafcb87f199,5061,27,2859,2288,931,9299,6507,10735,7874,13,12002,2430,0,12291,6370,427,9306,0,10881,10979,0
2a322fea-71ad-4fd1-8764-15611bea89e3,13712,12,2358,1341,2435,18579,27391,20740,65628,12,5714,7387,0,5743,27392,1316,18436,0,20819,20797,1
52ff6c04-db2a-4556-a305-4586bf5a66ef,9646,17,4284,1414,613,11529,14839,23003,36059,11,15649,6474,0,15898,14579,1013,11751,0,22997,23245,1
8201b409-248e-4ace-a58d-e88be5c1d9b8,5120,60,11606,4192,2918,20957,32321,78841,82178,51,65777,7565,0,66735,31877,2660,20990,0,79467,79807,1
b85a4a21-b46a-4bfd-be08-e1e55a0d925a,22437,10,3119,4172,1682,38334,23171,20060,17160,9,11246,13278,0,11399,23241,1011,38506,0,20277,20521,1
cfc3f316-158d-4892-82d8-07ff2b12f9d3,94824,9,19189,5179,3008,246232,72713,97285,34500,12,29473,73302,0,29410,71675,3878,246614,0,98062,98847,1
da22c303-873f-45e4-872a-20719096e690,5631,6,1724,1227,1131,3718,4769,8059,13969,5,2197,2578,0,2203,4755,414,3654,0,8259,8400,0
c33e3faf-293e-4f8a-993c-8ccc34be22ca,17846,8,5056,1928,1550,36471,4787,28439,23164,8,5417,1130,0,5674,4803,975,36421,0,28603,28983,1
69ad94e6-89d6-4f04-ab7e-7dc18bf732f3,57149,40,15380,3641,2356,67511,75182,86436,114268,43,41729,23516,0,42646,74493,4960,67547,0,86665,86774,0
60c0a73e-77f1-443e-b7a8-b6bcc81dae1b,940,2,6047,2649,484,6374,5433,8975,4027,4,9477,783,0,9892,5591,572,6440,0,9153,8924,1
4730cd39-72b7-49f9-a708-8fab6d96cee0,3977,9,2281,857,1278,7540,11562,11798,25052,19,3497,2914,0,3443,11615,930,7425,0,11962,12072,1
a2741236-7f1e-4971-838e-ee58590f50ce,18757,26,15646,7118,3809,39859,79457,74807,118759,23,31076,10116,0,31063,79986,3036,39533,0,73722,74114,1
5610bdc7-ecf9-4532-922e-442e28f191df,7491,15,9825,2558,2078,35055,38240,54229,83166,20,31574,10862,0,32078,37831,2110,34601,0,54455,54890,1
c124ce64-ef49-45ea-a3d3-8ee34bafb343,51855,11,14667,2998,5111,88787,36162,60751,30514,7,44907,10303,0,45651,35854,2129,88837,0,60637,61207,1
d73c8510-84b9-4347-9708-9d2a773c7a6f,27513,5,3504,1802,2315,11387,26045,20501,40040,11,4948,10557,0,4886,25951,1071,11359,0,20328,20547,1
ef9bc997-7f51-4c36-8c03-fc418e703fe3,3977,3,1640,1156,2084,9248,36471,22340,47477,5,9049,4434,0,9011,36369,1104,9344,0,22306,22421,1
d5c253a3-2b23-4d9a-b181-764d6c1f21c3,6410,25,4777,2276,872,11179,10424,18196,13818,24,16163,4397,0,16323,10480,344,11162,0,18151,18139,0
1088150d-6db6-4564-9b07-9aae6032e1a9,2946,2,1532,894,2149,13986,10589,13740,16514,1,6376,732,0,6485,10628,1613,13842,0,13770,13857,1
0781c269-0f36-4334-ba9d-bc6df0952a7e,14890,1,5474,1806,1746,7541,2533,38490,55572,3,25531,8099,0,26120,2620,1189,7560,0,38136,38457,1
c48e8aed-5c94-4e0c-96b8-bda35dea5c03,10168,9,3524,3802,1595,28780,22874,13472,7494,8,13252,2787,0,13240,22629,1087,28827,0,13633,13729,1
506b3c38-3405-4145-8b24-59e40a54ac76,10545,10,2462,1921,2065,10908,22850,17070,37919,8,4741,4415,0,4720,23098,1084,10841,0,16657,17026,1
50a66d07-92b0-49bc-8c62-8e7aef1fcdcb,36733,5,13023,8508,3152,90118,68246,141082,115104,8,82515,63958,0,82914,66524,2646,89705,0,140586,141846,1
9205c60e-e133-46ce-a86f-f78f7efa1027,21563,31,5879,2530,1478,10084,11781,46517,49997,42,30274,8294,0,30983,11681,1517,9926,0,46104,46418,1
0cf93132-5ee6-4b6b-9d47-480c44ba0664,9686,1,1133,764,4569,7243,14474,8484,28546,0,2127,3611,0,2041,14436,958,7252,0,8629,8706,1
8252770e-0340-4930-8c3a-a77d3b814356,4806,9,1294,1036,1082,21797,4780,8834,23578,5,2397,1960,0,2472,4892,1617,21789,0,8798,8904,1
51e93705-87cb-4281-98ba-12baca7ff1cc,50729,48,11906,4835,2852,47472,90740,69474,65025,59,33398,13792,0,33989,90040,1577,47597,0,69571,69914,0
9c875470-241f-4477-8ce0-870dcccb5196,74625,9,9096,4774,3335,27113,69281,86881,79948,9,30245,5339,0,30753,68482,1680,27045,0,86486,87092,1
af6b333e-d0c9-4059-a783-f7e3097979a4,9478,11,14039,1833,2885,40604,59552,83165,92657,13,36435,13033,0,36852,59193,1865,40786,0,82834,83095,1
d02307f6-72dc-4525-ade4-2c3955e7a477,5174,3,1463,2609,950,61474,16225,15916,15588,0,9815,5006,0,9867,15946,972,61479,0,16201,16225,1
